marker;iteration;timestamp;sens.KITGripperFTSensor.tz;sens.TestBenchMotor.position;sens.TestBenchMotor.targetPWM;sens.TestBenchMotor.velocityTicksPerMs;sens.TestBenchMotor.rawVelocity;sens.TestBenchMotor.filteredVelocity;ctrl.TestBenchMotor.ControlMode_Velocity1DoF.velocity
;545443;1560955004685190;0.061927;-2.871067;8;0.000000;-0.003779;-0.000378;nan
;545444;1560955004686140;0.061951;-2.871067;-12;1.000000;0.000000;0.000000;nan
;545445;1560955004687139;0.061951;-2.871063;-12;-1.000000;0.003779;0.000000;nan
;545446;1560955004688145;0.061951;-2.871067;-12;1.000000;-0.003779;0.000000;nan
;545447;1560955004689182;0.061951;-2.871063;-25;0.000000;0.003779;0.000000;nan
;545448;1560955004690190;0.061951;-2.871063;-11;-1.000000;0.000000;0.000378;nan
;545449;1560955004691145;0.061950;-2.871067;-13;1.000000;-0.003779;0.000000;nan
;545450;1560955004692218;0.061950;-2.871063;-12;0.000000;0.003779;0.000378;nan
;545451;1560955004693196;0.061950;-2.871063;-12;-1.000000;0.000000;0.000378;nan
;545452;1560955004694200;0.061949;-2.871067;7;1.000000;-0.003779;-0.000378;nan
;545453;1560955004695185;0.061948;-2.871063;-12;0.000000;0.003779;0.000378;nan
;545454;1560955004696252;0.061926;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545455;1560955004697155;0.061905;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545456;1560955004698213;0.061892;-2.871063;-12;0.000000;0.000000;0.000378;nan
;545457;1560955004699146;0.061878;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545458;1560955004700202;0.061878;-2.871067;7;1.000000;-0.003779;-0.000378;nan
;545459;1560955004701207;0.061878;-2.871063;-11;0.000000;0.003779;0.000378;nan
;545460;1560955004702158;0.061878;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545461;1560955004703206;0.061877;-2.871063;-12;0.000000;0.000000;0.000000;nan
;545462;1560955004704216;0.061877;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545463;1560955004705198;0.061877;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545464;1560955004706175;0.061877;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545465;1560955004707142;0.061878;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545466;1560955004708143;0.061883;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545467;1560955004709181;0.061888;-2.871063;-12;0.000000;0.000000;0.000000;nan
;545468;1560955004710177;0.061888;-2.871063;-12;0.000000;0.000000;0.000378;nan
;545469;1560955004711177;0.061890;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545470;1560955004712189;0.061892;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545471;1560955004713200;0.061911;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545472;1560955004714255;0.061930;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545473;1560955004715219;0.061930;-2.871067;7;0.000000;-0.003779;-0.000378;nan
;545474;1560955004716199;0.061930;-2.871067;6;0.000000;0.000000;-0.000378;nan
;545475;1560955004717208;0.061930;-2.871067;6;0.000000;0.000000;-0.000378;nan
;545476;1560955004718208;0.061930;-2.871067;6;0.000000;0.000000;-0.000378;nan
;545477;1560955004719216;0.061930;-2.871067;6;1.000000;0.000000;-0.000378;nan
;545478;1560955004720204;0.061930;-2.871063;-13;0.000000;0.003779;0.000000;nan
;545479;1560955004721210;0.061930;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545480;1560955004722209;0.061919;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545481;1560955004723216;0.061909;-2.871067;6;0.000000;-0.003779;-0.000378;nan
;545482;1560955004724224;0.061909;-2.871067;6;1.000000;0.000000;-0.000378;nan
;545483;1560955004725197;0.061909;-2.871063;-12;0.000000;0.003779;0.000378;nan
;545484;1560955004726211;0.061921;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545485;1560955004727216;0.061933;-2.871063;-11;-1.000000;0.000000;0.000378;nan
;545486;1560955004728203;0.061943;-2.871067;-13;0.000000;-0.003779;0.000000;nan
;545487;1560955004729209;0.061943;-2.871067;-14;0.000000;0.000000;0.000000;nan
;545488;1560955004730218;0.061933;-2.871067;5;1.000000;0.000000;-0.000378;nan
;545489;1560955004731208;0.061927;-2.871063;-13;0.000000;0.003779;0.000000;nan
;545490;1560955004732208;0.061927;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545491;1560955004733208;0.061927;-2.871067;-13;1.000000;-0.003779;0.000000;nan
;545492;1560955004734217;0.061921;-2.871063;-11;0.000000;0.003779;0.000378;nan
;545493;1560955004735250;0.061898;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545494;1560955004736225;0.061875;-2.871067;5;0.000000;-0.003779;-0.000378;nan
;545495;1560955004737216;0.061850;-2.871067;5;1.000000;0.000000;-0.000378;nan
;545496;1560955004738215;0.061826;-2.871063;-11;-1.000000;0.003779;0.000378;nan
;545497;1560955004739192;0.061826;-2.871067;-13;1.000000;-0.003779;0.000000;nan
;545498;1560955004740188;0.061826;-2.871063;-11;0.000000;0.003779;0.000378;nan
;545499;1560955004741183;0.061826;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545500;1560955004742183;0.061826;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545501;1560955004743220;0.061881;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545502;1560955004744209;0.061936;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545503;1560955004745228;0.061964;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545504;1560955004746240;0.061964;-2.871063;-11;-1.000000;0.000000;0.000378;nan
;545505;1560955004747209;0.061964;-2.871067;-13;1.000000;-0.003779;0.000000;nan
;545506;1560955004748217;0.061969;-2.871063;-16;0.000000;0.003779;0.000000;nan
;545507;1560955004749221;0.061946;-2.871063;-11;-1.000000;0.000000;0.000378;nan
;545508;1560955004750252;0.061941;-2.871067;4;1.000000;-0.003779;-0.000378;nan
;545509;1560955004751209;0.061936;-2.871063;-13;-1.000000;0.003779;0.000000;nan
;545510;1560955004752219;0.061919;-2.871067;4;0.000000;-0.003779;-0.000378;nan
;545511;1560955004753239;0.061903;-2.871067;4;1.000000;0.000000;-0.000378;nan
;545512;1560955004754210;0.061816;-2.871063;-13;0.000000;0.003779;0.000000;nan
;545513;1560955004755238;0.061730;-2.871063;-14;-1.000000;0.000000;0.000000;nan
;545514;1560955004756220;0.061730;-2.871067;3;1.000000;-0.003779;-0.000378;nan
;545515;1560955004757253;0.061730;-2.871063;-11;-1.000000;0.003779;0.000378;nan
;545516;1560955004758217;0.061730;-2.871067;3;1.000000;-0.003779;-0.000378;nan
;545517;1560955004759212;0.061730;-2.871063;-13;-1.000000;0.003779;0.000000;nan
;545518;1560955004760235;0.061730;-2.871067;-13;0.000000;-0.003779;0.000000;nan
;545519;1560955004761216;0.061783;-2.871067;4;1.000000;0.000000;-0.000378;nan
;545520;1560955004762207;0.061835;-2.871063;-11;0.000000;0.003779;0.000378;nan
;545521;1560955004763228;0.061966;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545522;1560955004764263;0.062097;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545523;1560955004765224;0.062097;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545524;1560955004766213;0.062097;-2.871067;-13;1.000000;-0.003779;0.000000;nan
;545525;1560955004767223;0.062097;-2.871063;-17;0.000000;0.003779;0.000000;nan
;545526;1560955004768226;0.062097;-2.871063;-11;-1.000000;0.000000;0.000378;nan
;545527;1560955004769206;0.061951;-2.871067;3;0.000000;-0.003779;-0.000378;nan
;545528;1560955004770185;0.061804;-2.871067;-13;1.000000;0.000000;0.000000;nan
;545529;1560955004771190;0.061783;-2.871063;-11;0.000000;0.003779;0.000378;nan
;545530;1560955004772202;0.061762;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545531;1560955004773201;0.061762;-2.871067;2;0.000000;-0.003779;-0.000378;nan
;545532;1560955004774199;0.061752;-2.871067;3;1.000000;0.000000;-0.000378;nan
;545533;1560955004775203;0.061742;-2.871063;-13;0.000000;0.003779;0.000000;nan
;545534;1560955004776236;0.061742;-2.871063;-12;0.000000;0.000000;0.000378;nan
;545535;1560955004777195;0.061742;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545536;1560955004778207;0.061742;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545537;1560955004779240;0.061742;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545538;1560955004780216;0.061811;-2.871063;-11;0.000000;0.000000;0.000378;nan
;545539;1560955004781200;0.061879;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545540;1560955004782213;0.061879;-2.871063;-13;-1.000000;0.000000;0.000000;nan
;545541;1560955004783259;0.061992;-2.871067;-13;0.000000;-0.003779;0.000000;nan
;545542;1560955004784216;0.062105;-2.871067;-20;1.000000;0.000000;0.000000;nan
;545543;1560955004785214;0.062105;-2.871063;-20;0.000000;0.003779;0.000000;nan
;545544;1560955004786207;0.062105;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545545;1560955004787236;0.062105;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545546;1560955004788210;0.062105;-2.871063;-14;0.000000;0.000000;0.000000;nan
;545547;1560955004789213;0.062014;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545548;1560955004790216;0.061924;-2.871063;-13;0.000000;0.000000;0.000000;nan
;545549;1560955004791220;0.061923;-2.871063;-14;0.000000;0.000000;0.000000;nan
