marker;iteration;timestamp;sens.KITGripperFTSensor.tz;sens.TestBenchMotor.position;sens.TestBenchMotor.targetPWM;sens.TestBenchMotor.velocityTicksPerMs;sens.TestBenchMotor.rawVelocity;sens.TestBenchMotor.filteredVelocity;ctrl.TestBenchMotor.ControlMode_Velocity1DoF.velocity
;1932429;1560956391741090;0.054718;0.912030;2194;659.000000;2.444877;2.216260;nan
;1932430;1560956391742094;0.055521;0.914532;2233;644.000000;2.490222;2.259338;nan
;1932431;1560956391743081;0.056323;0.916959;2283;647.000000;2.433541;2.316776;nan
;1932432;1560956391744080;0.064389;0.919415;2324;652.000000;2.444877;2.363633;nan
;1932433;1560956391745065;0.072455;0.921857;2356;642.000000;2.463771;2.400665;nan
;1932434;1560956391746065;0.072455;0.924298;2377;649.000000;2.425983;2.423716;nan
;1932435;1560956391747065;0.072455;0.926740;2391;655.000000;2.452435;2.438453;nan
;1932436;1560956391748081;0.072455;0.929227;2402;652.000000;2.475107;2.450545;nan
;1932437;1560956391749063;0.072455;0.931683;2405;661.000000;2.463771;2.453568;nan
;1932438;1560956391750094;0.072455;0.934171;2410;666.000000;2.497780;2.459236;nan
;1932439;1560956391751080;0.071434;0.936704;2416;665.000000;2.516674;2.466416;nan
;1932440;1560956391752089;0.070413;0.939206;2419;674.000000;2.512895;2.468683;nan
;1932441;1560956391753063;0.065152;0.941754;2429;674.000000;2.546904;2.480020;nan
;1932442;1560956391754064;0.059891;0.944302;2438;677.000000;2.546904;2.490222;nan
;1932443;1560956391755064;0.056501;0.946866;2447;683.000000;2.558241;2.499670;nan
;1932444;1560956391756069;0.053112;0.949445;2461;684.000000;2.580914;2.515162;nan
;1932445;1560956391757063;0.046647;0.952023;2474;686.000000;2.584692;2.528388;nan
;1932446;1560956391758065;0.040182;0.954633;2484;691.000000;2.592250;2.540102;nan
;1932447;1560956391759065;0.035850;0.957227;2498;692.000000;2.611144;2.554840;nan
;1932448;1560956391760105;0.031518;0.959836;2509;694.000000;2.614923;2.566554;nan
;1932449;1560956391761063;0.029762;0.962476;2519;700.000000;2.622480;2.577135;nan
;1932450;1560956391762064;0.029762;0.965115;2531;705.000000;2.645153;2.590360;nan
;1932451;1560956391763064;0.029762;0.967786;2542;701.000000;2.664047;2.602075;nan
;1932452;1560956391764073;0.029762;0.970425;2551;710.000000;2.648932;2.612278;nan
;1932453;1560956391765062;0.029762;0.973111;2562;713.000000;2.682941;2.624748;nan
;1932454;1560956391766064;0.031559;0.975812;2573;712.000000;2.694277;2.636084;nan
;1932455;1560956391767065;0.035111;0.978497;2583;717.000000;2.690498;2.646664;nan
;1932456;1560956391768074;0.035225;0.981198;2594;726.000000;2.709392;2.658379;nan
;1932457;1560956391769066;0.035338;0.983945;2606;721.000000;2.743402;2.671604;nan
;1932458;1560956391770071;0.036234;0.986676;2615;725.000000;2.724508;2.682563;nan
;1932459;1560956391771057;0.037130;0.989407;2626;734.000000;2.739623;2.694277;nan
;1932460;1560956391772062;0.037130;0.992184;2639;732.000000;2.773632;2.707125;nan
;1932461;1560956391773050;0.036234;0.994962;2649;734.000000;2.766074;2.717328;nan
;1932462;1560956391774051;0.035338;0.997723;2660;742.000000;2.773632;2.729798;nan
;1932463;1560956391775051;0.035225;1.000531;2671;744.000000;2.803862;2.741890;nan
;1932464;1560956391776052;0.035225;1.003339;2683;746.000000;2.811420;2.753604;nan
;1932465;1560956391777052;0.035230;1.006162;2694;746.000000;2.818977;2.766452;nan
;1932466;1560956391778069;0.035121;1.008984;2704;753.000000;2.818977;2.777411;nan
;1932467;1560956391779050;0.035121;1.011823;2713;760.000000;2.845429;2.787613;nan
;1932468;1560956391780086;0.035121;1.014691;2727;755.000000;2.871880;2.802351;nan
;1932469;1560956391781113;0.034781;1.017560;2736;759.000000;2.852986;2.813687;nan
;1932470;1560956391782067;0.034441;1.020413;2744;769.000000;2.868102;2.823134;nan
;1932471;1560956391783052;0.034441;1.023328;2758;767.000000;2.905890;2.837116;nan
